UTM E, UTM N
369353.3982446485 ,  3280339.4171685874
369353.3982446485 ,  3280339.5915269796
369352.23274804116 ,  3280338.6741381953
369352.23274804116 ,  3280338.850852783
369352.23274804116 ,  3280339.0322797587
369352.23274804116 ,  3280339.041704537
369351.65193708596 ,  3280338.6031531002
369351.65193708596 ,  3280338.7162504364
369351.65193708596 ,  3280338.852909717
369351.65193708596 ,  3280338.970719442
369351.65193708596 ,  3280339.1003101394
369352.13982094603 ,  3280338.9558840753
369352.13982094603 ,  3280339.061912827
369352.13982094603 ,  3280339.059556633
369352.13982094603 ,  3280339.059556633
369352.13982094603 ,  3280339.059556633
369353.8938777972 ,  3280339.8928827858
369353.8938777972 ,  3280340.0554602053
369353.8938777972 ,  3280340.265161515
369353.8938777972 ,  3280340.6421526335
369353.8938777972 ,  3280340.9437455283
369354.55340876494 ,  3280338.390082323
369354.55340876494 ,  3280338.434850019
369354.55340876494 ,  3280338.4207128524
369354.55340876494 ,  3280338.423069047
369354.55340876494 ,  3280338.4207128524
369355.02321088285 ,  3280337.172512151
369355.02321088285 ,  3280337.469392657
369355.02321088285 ,  3280337.8463837747
369355.02321088285 ,  3280338.218662504
369355.02321088285 ,  3280338.5956536224
369358.1957157705 ,  3280335.291431886
369358.1957157705 ,  3280335.564750447
369358.1957157705 ,  3280335.649573449
369358.1957157705 ,  3280335.637792477
369358.1957157705 ,  3280335.633080088
369359.62837107334 ,  3280333.5085672676
369359.62837107334 ,  3280333.5085672676
369359.62837107334 ,  3280333.539197796
369359.62837107334 ,  3280333.737118133
369359.62837107334 ,  3280334.0222176663
369360.1020484526 ,  3280332.6799999424
369360.1020484526 ,  3280333.146526451
369360.1020484526 ,  3280333.5235175695
369360.1020484526 ,  3280333.5612166813
369360.1020484526 ,  3280333.5235175695
369360.57443442097 ,  3280331.644010691
369360.57443442097 ,  3280331.9173292518
369360.57443442097 ,  3280332.171798256
369360.57443442097 ,  3280332.4356920393
369360.57443442097 ,  3280332.680736266
369361.0571523546 ,  3280331.5864568665
369361.0571523546 ,  3280331.902186928
369361.0571523546 ,  3280332.156655933
369361.0571523546 ,  3280332.40170016
369361.0571523546 ,  3280332.649100581
369361.2675454043 ,  3280332.991847574
369361.2675454043 ,  3280333.1214382704
369361.2675454043 ,  3280333.298152857
369361.2675454043 ,  3280333.5361285005
369361.2675454043 ,  3280333.6445134473
369361.577323233 ,  3280334.6389518543
369361.577323233 ,  3280334.860434137
369361.577323233 ,  3280335.2209318937
369361.577323233 ,  3280335.557867706
369361.577323233 ,  3280335.937215019
369361.57990619517 ,  3280334.940698422
369361.57990619517 ,  3280335.312977151
369361.57990619517 ,  3280335.7064616308
369361.57990619517 ,  3280335.8902448006
369361.57990619517 ,  3280336.1329328334
369363.04872310266 ,  3280336.3267110717
