UTM E, UTM N
369334.50115278485 ,  3280311.7541844686
369334.1268933935 ,  3280311.311621734
369333.7700557984 ,  3280310.8549859524
369333.4405388115 ,  3280310.3782229056
369333.16989060916 ,  3280309.92250758
369334.07667138934 ,  3280310.8589937207
369333.8223002647 ,  3280310.3540072697
369333.6130803809 ,  3280309.851811663
369333.4356367985 ,  3280309.3074892745
369333.2955555137 ,  3280308.774367386
369334.13595858903 ,  3280310.0087129003
369334.05412099673 ,  3280309.38518307
369333.98739600554 ,  3280308.752520647
369333.9370551203 ,  3280308.1326371464
369333.91372548667 ,  3280307.567766597
369334.16462933243 ,  3280308.2102612373
369334.07432427566 ,  3280307.7678591176
369333.8374742327 ,  3280307.270279774
369333.617234752 ,  3280306.788088084
369333.41184723965 ,  3280306.2613161867
369334.0688245092 ,  3280307.4834043602
369333.91254095145 ,  3280306.925283804
369333.77036234096 ,  3280306.4146032427
369333.611115376 ,  3280305.909527023
369333.3973748041 ,  3280305.487359828
369333.96689442213 ,  3280306.99008492
369333.7647728064 ,  3280306.792633298
369333.3317396 ,  3280306.463311865
369332.86280830257 ,  3280306.1227049255
369332.4025913297 ,  3280305.770336213
369333.5419468507 ,  3280305.790685963
369333.1243096911 ,  3280305.420037143
369332.6316542925 ,  3280304.9535334287
369332.2501160113 ,  3280304.54621181
369331.9284191522 ,  3280304.1610301505
369332.9862044055 ,  3280305.100980051
369332.6769379668 ,  3280304.661796105
369332.39249779406 ,  3280304.2145154015
369332.0943208977 ,  3280303.7010753546
369331.8216086788 ,  3280303.1739401435
369332.8550514253 ,  3280304.4224652313
369332.66397850605 ,  3280303.9204986147
369332.48521176435 ,  3280303.347039187
369332.3609233071 ,  3280302.8608293994
369332.24225708225 ,  3280302.293505709
369332.7897219815 ,  3280303.798887226
369332.70508956385 ,  3280303.254351607
369332.63744418975 ,  3280302.614690933
369332.61043106834 ,  3280302.078440439
369332.61606511025 ,  3280301.4917935967
369332.95549053606 ,  3280302.4689043937
369333.02199499944 ,  3280301.8433693093
369333.10577682365 ,  3280301.198505605
369333.20510772977 ,  3280300.6203316124
369333.34202399873 ,  3280299.9919659817
369333.70050580206 ,  3280301.3385025924
369333.8994035569 ,  3280300.690176192
369333.97991541907 ,  3280300.131640654
369334.03241620405 ,  3280299.511836142
369334.12303522957 ,  3280298.9183298955
369334.35052961326 ,  3280301.1169977435
369334.5391965054 ,  3280300.435852251
369334.73984541633 ,  3280299.8322771895
369334.9550130488 ,  3280299.2637390527
369335.17978802166 ,  3280298.7294853646
369335.36125659785 ,  3280300.48741975
369335.63046826667 ,  3280299.9503152
369335.9382592777 ,  3280299.401804066
369336.2919223565 ,  3280298.864619186
369336.6889824721 ,  3280298.323113967
369336.4003403175 ,  3280300.2921263836
369336.81222654437 ,  3280299.826206978
369337.2399598457 ,  3280299.394460207
369337.6783623994 ,  3280298.994125355
369338.0946280241 ,  3280298.551522101
369337.4486731542 ,  3280298.858009414
369337.8868445481 ,  3280298.3871367
369338.3152737503 ,  3280297.9661006695
369338.6479604236 ,  3280297.6809000424
369339.10913364374 ,  3280297.318249982
369338.202562431 ,  3280297.7375523886
369338.6131393787 ,  3280297.4614168303
369338.90216869366 ,  3280297.2705607726
369339.2798321015 ,  3280297.021531735
369339.85338698595 ,  3280296.5965939453
369338.9919708594 ,  3280296.797629326
369339.4503548035 ,  3280296.50488234
369339.9291754791 ,  3280296.296283528
369340.42573289596 ,  3280296.131891339
369340.9629898501 ,  3280295.955604798
369339.61342706584 ,  3280295.973479129
369340.00519533927 ,  3280295.830594282
369340.5079508053 ,  3280295.604314239
369341.02034672635 ,  3280295.382377799
369341.5234923979 ,  3280295.1569260387
369340.04437576956 ,  3280294.062693962
369340.5142484315 ,  3280293.8494893136
369341.0079344264 ,  3280293.620587035
369341.49973534106 ,  3280293.4226370193
369341.99583035376 ,  3280293.2358300057
369340.71861561213 ,  3280292.8632774553
369341.1733426614 ,  3280292.7315073167
