UTM E, UTM N
369355.3213529809 ,  3280319.4903268307
369355.1640165082 ,  3280319.502850905
369354.80598816095 ,  3280319.4989645304
369354.6224572814 ,  3280319.490967378
369355.0921249607 ,  3280317.8586614104
369354.8791224942 ,  3280317.882941801
369354.4932758561 ,  3280317.9012969304
369353.56907022913 ,  3280319.5006237566
369353.2112364753 ,  3280319.502486583
369353.027508082 ,  3280319.531367699
369352.7848561774 ,  3280319.1936978586
369352.6099027849 ,  3280319.218553795
369352.22829461284 ,  3280319.261632785
369351.9312136178 ,  3280318.986594437
369351.756983474 ,  3280319.0371855665
369351.40293955326 ,  3280319.1359403515
369351.226084543 ,  3280319.1762507814
369350.2901884964 ,  3280320.6929731197
369350.1138179322 ,  3280320.7437900472
369349.78480966296 ,  3280320.879110507
369349.9132345289 ,  3280321.2387918993
369349.5726641959 ,  3280321.356871558
369349.3946265208 ,  3280321.411122563
369348.63715584495 ,  3280322.0021629706
369348.6601526673 ,  3280321.9970335276
369348.6578540278 ,  3280321.997551127
369349.31951585825 ,  3280321.2154141827
369349.31951585825 ,  3280321.2154141827
369349.31951585825 ,  3280321.2154141827
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
369350.08101579524 ,  3280320.098208522
